Dos. nr.;DossierStatus;Boekingsdatum;Vertrekdatum;Volledige naam klant;Bestemming;ArticlePoNummer;Artikelcode;Omschrijving;Artikelprijs;Totaal dossier
713;Ok;10.01.2013 00:00:00;19.07.2013 00:00:00;826f2a57235cbff0;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;;Prijs per persoon (2 x Tweepersoonskamer);880,00;0,00
714;Ok;11.01.2013 00:00:00;26.04.2013 00:00:00;372cf782d12d6ebb;Westernranch in de Ardennen;;ec5bf082c4d8bae6;Weekend Western Ranch in tweepersoonskamer;580,00;580,00
744;Ok;26.01.2013 00:00:00;27.04.2013 00:00:00;b656deada70fafb9;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;;Prijs per persoon (2 x Tweepersoonskamer);5.400,00;5.727,00
744;Ok;26.01.2013 00:00:00;27.04.2013 00:00:00;b656deada70fafb9;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;;Ja;327,00;5.727,00
745;Ok;27.01.2013 00:00:00;07.04.2013 00:00:00;52aa0c8f23c08919;Klassieke dressuurlessen van topkwaliteit en stedenschoon in Portugal;;;Prijs per persoon (1 x Eenpersoonskamer);1.280,00;1.280,00
743;Ok;25.01.2013 00:00:00;10.08.2013 00:00:00;9d261039ad8c9445;De Balkan trail;;def3d0afc5a44821;1 x ( één persoonskamer );895,00;895,00
755;Ok;02.02.2013 00:00:00;28.07.2013 00:00:00;f428a95a4eb0997c;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Ruiterkamp;295,00;295,00
756;Ok;04.02.2013 00:00:00;14.06.2013 00:00:00;a70ee41644b78b59;Trektochten te paard in de Noord Eifel;;be8fbe09c6ee3d94;Prijs per persoon (1 x Tweepersoonskamer);814,00;814,00
759;Ok;03.02.2013 00:00:00;10.08.2013 00:00:00;0b41e981f904bb9b;De Balkan trail Bulgarije;;;Balkan Trail;895,00;1.240,00
760;Ok;03.02.2013 00:00:00;20.07.2013 00:00:00;19f3e6b1e63cd5d4;Avontuurlijke paardrijtochten in Umbrië Italië;;049a9b89d8784fb4;Zomertocht;2.580,00;2.580,00
764;Ok;06.02.2013 00:00:00;22.06.2013 00:00:00;04efe1960ed702eb;Nederlands Frans ruiterhotel in de Dordogne Frankr;;0ae6d9e358376a70;Zomerweek halve dagtochten;785,00;1.255,00
773;Ok;08.02.2013 00:00:00;05.04.2013 00:00:00;5e180f8c7a57d233;Pittige Ritten in de Ardennen;;6dc37ffccd8f8373;Prijs per persoon (1 x Eenpersoonskamer);315,00;345,00
779;Ok;13.02.2013 00:00:00;27.07.2013 00:00:00;eb5849872e4503d9;Vakantiehuis in de Dordogne 2-4 persoons;;4603a09ea2e534fb;2-4 persoonshuis logies;600,00;600,00
774;Ok;08.02.2013 00:00:00;24.08.2013 00:00:00;c0bf2a71643b4520;Met de Huifkar over de Poesta Hongarije;;6ee4b7688d9819cb;Huur huifkar per week, logies;675,00;675,00
791;Ok;15.02.2013 00:00:00;28.07.2013 00:00:00;fc35691dbdd97889;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
800;Ok;20.02.2013 00:00:00;27.04.2013 00:00:00;e2511f74c7ab8662;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;fce5bdfc950611be;Fatima Trektocht;1.350,00;1.350,00
802;Ok;22.02.2013 00:00:00;28.07.2013 00:00:00;8b4df0e4e268ce10;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
803;Ok;23.02.2013 00:00:00;28.07.2013 00:00:00;59c6c68bd36b8e3d;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
804;Ok;23.02.2013 00:00:00;28.07.2013 00:00:00;0f8cf03d2c8fd2a8;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
805;Ok;20.02.2013 00:00:00;05.07.2013 00:00:00;ea0eda86bb158994;Paardrijden met IJslanders in de Ardennen;;2c3990e373fce35f;Paardrijweekend IJslanders Ardennen;620,00;620,00
806;Ok;26.02.2013 00:00:00;04.08.2013 00:00:00;93f62c809a7461c6;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
807;Ok;26.02.2013 00:00:00;04.08.2013 00:00:00;40a7d9982217f0e8;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
808;Ok;26.02.2013 00:00:00;04.08.2013 00:00:00;8d51216af18fc854;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
813;Ok;28.02.2013 00:00:00;13.07.2013 00:00:00;e67efe5252eca518;De Kust van de Lusitano;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;1.878,00;2.832,86
815;Ok;02.03.2013 00:00:00;27.07.2013 00:00:00;adfa8d90d0ff2132;MOLISE TREKTOCHT Italie;;82a2e325c02a779a;Molise trektocht;1.950,00;1.950,00
816;Ok;03.03.2013 00:00:00;14.07.2013 00:00:00;33e691eb62f8bf4e;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
819;Ok;03.03.2013 00:00:00;21.07.2013 00:00:00;ff3565383a176e44;Jeugdkamp Brabant - Op de Grens Nederland;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
821;Ok;05.03.2013 00:00:00;07.07.2013 00:00:00;352071f59e4f9d69;Jeugdkamp Brabant - Op de Grens, Nederland;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
818;Ok;03.03.2013 00:00:00;13.07.2013 00:00:00;cf85c036dc700420;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
820;Ok;04.03.2013 00:00:00;12.04.2013 00:00:00;21c8b7e87e4ca9c6;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
823;Ok;05.03.2013 00:00:00;12.04.2013 00:00:00;ee98a65b0d9b2193;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
824;Ok;05.03.2013 00:00:00;12.04.2013 00:00:00;89432f0637b868b4;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
825;Ok;06.03.2013 00:00:00;12.04.2013 00:00:00;0010811d975ca2a8;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
826;Ok;06.03.2013 00:00:00;18.08.2013 00:00:00;93233f8b098de7fe;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
840;Ok;09.03.2013 00:00:00;18.08.2013 00:00:00;3d3c46f7ee872cc0;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
